City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0047,147.318,276.84,90,16,2.79,AU,1684351954
1,port-aux-francais,-49.3498,70.22,280.94,98,100,12.42,TF,1684351954
2,murudeshwara,14.096,74.4883,300.6,83,0,3.02,IN,1684351955
3,iqaluit,63.7494,-68.5219,269.77,63,89,7.6,CA,1684351955
4,anadyr,64.7317,177.5061,272.08,69,0,2.0,RU,1684351955
5,puerto natales,-51.7262,-72.506,277.83,80,100,4.52,CL,1684351955
6,afaahiti,-17.739,-149.29,301.53,82,14,5.41,PF,1684351956
7,linqiong,30.4145,103.4654,293.14,75,100,1.67,CN,1684351956
8,adamstown,-25.0667,-130.1002,296.26,74,0,1.54,PN,1684351956
9,mokhsogollokh,61.3979,128.9479,276.98,84,100,3.42,RU,1684351957
10,qaqortoq,60.7182,-46.0385,274.5,99,100,1.33,GL,1684351957
11,avarua,-21.2075,-159.7708,296.49,68,33,5.98,CK,1684351957
12,tual,-5.639,132.7429,301.03,76,75,8.1,ID,1684351958
13,port mathurin,-19.6808,63.4221,299.11,79,16,6.16,MU,1684351958
14,tiksi,71.6366,128.8685,265.52,96,100,4.54,RU,1684351958
15,kaiama,9.6099,3.9414,299.92,68,100,2.6,NG,1684351958
16,norman gardens,-23.3224,150.5393,285.34,56,0,1.53,AU,1684351959
17,porto novo,6.4991,2.6253,301.34,79,79,4.03,BJ,1684351959
18,constantia,44.1767,28.6508,286.41,79,100,4.11,RO,1684351959
19,kochenevo,55.0214,82.2077,271.81,64,0,2.84,RU,1684351960
20,isafjordur,66.0727,-23.1194,280.81,78,100,0.5,IS,1684351960
21,pindobacu,-10.7439,-40.3619,300.35,50,88,3.48,BR,1684351960
22,fuvahmulah,-0.2948,73.4241,301.36,79,33,4.2,MV,1684351960
23,waitangi,-35.2705,174.0805,288.41,75,96,5.6,NZ,1684351961
24,arraial do cabo,-22.9663,-42.0244,295.4,69,16,7.53,BR,1684351961
25,koppa,12.8054,77.6274,300.15,51,55,3.07,IN,1684351961
26,kingscliff,-28.2567,153.5761,285.29,86,2,4.67,AU,1684351961
27,mount pearl,47.5185,-52.8079,285.17,87,100,14.4,CA,1684351518
28,formosa do rio preto,-11.0415,-45.1904,301.42,53,100,0.84,BR,1684351962
29,peace river,56.2333,-117.2908,293.07,30,0,2.61,CA,1684351501
30,uvel'skiy,54.442,61.3544,283.42,44,100,5.97,RU,1684351963
31,invercargill,-46.4118,168.3471,281.04,90,100,3.59,NZ,1684351963
32,magadan,59.5605,150.7989,278.86,80,100,4.63,RU,1684351963
33,san patricio,27.9695,-97.7732,304.36,48,30,2.2,US,1684351963
34,puerto ayora,-0.7472,-90.3134,301.04,87,94,3.58,EC,1684351964
35,wenshui,37.4322,112.0305,290.32,45,75,1.31,CN,1684351964
36,wailua homesteads,22.0581,-159.3691,297.06,83,86,2.68,US,1684351964
37,bytow,54.1695,17.489,279.44,76,100,2.41,PL,1684351965
38,trebujena,36.8693,-6.1767,293.86,54,20,4.63,ES,1684351965
39,tanjung selor,2.8418,117.3687,296.43,93,87,1.24,ID,1684351965
40,hawaiian paradise park,19.585,-154.9731,295.32,94,96,3.31,US,1684351965
41,yellowknife,62.4541,-114.3774,286.05,50,8,5.81,CA,1684351966
42,touros,-5.1999,-35.4595,300.38,78,53,4.78,BR,1684351966
43,codrington,51.5082,-2.3937,288.1,89,100,1.28,GB,1684351966
44,guiglo,6.4303,-7.5909,299.45,77,100,1.73,CI,1684351966
45,nemuro,43.3301,145.5829,280.03,92,99,2.73,JP,1684351967
46,tamluk,22.2897,87.9256,301.73,82,14,5.92,IN,1684351967
47,stanley,-51.6951,-57.8492,281.34,79,9,10.26,FK,1684351967
48,lebu,-37.61,-73.6559,286.25,65,99,2.03,CL,1684351968
49,kingston,17.9712,-76.7928,303.1,81,99,2.24,JM,1684351920
50,portland,45.5202,-122.6742,302.38,53,0,1.34,US,1684351968
51,turkmenbasy,40.0053,52.9929,288.89,59,99,4.71,TM,1684351968
52,qarqaraly,49.4124,75.4705,280.79,34,100,8.06,KZ,1684351969
53,ilulissat,69.2197,-51.0986,272.83,82,13,1.08,GL,1684351969
54,west island,-12.1459,96.8423,300.35,70,41,9.19,CC,1684351969
55,san matias,15.0084,120.7113,301.57,79,100,1.08,PH,1684351969
56,vilyuchinsk,52.9318,158.4054,276.32,91,100,1.32,RU,1684351970
57,whitehorse,60.72,-135.0519,293.76,23,7,1.79,CA,1684351482
58,jerez de garcia salinas,22.6494,-102.99,299.49,16,92,5.94,MX,1684351970
59,petropavlovsk-kamchatsky,53.02,158.6471,276.21,86,100,1.27,RU,1684351971
60,maraba,-5.3463,-49.1007,301.25,82,76,1.96,BR,1684351971
61,papatowai,-46.5619,169.4708,281.56,90,100,4.59,NZ,1684351972
62,longyearbyen,78.22,15.65,270.21,80,100,3.09,SJ,1684351206
63,inhambane,-23.866,35.3844,295.08,86,0,4.54,MZ,1684351972
64,edinburgh of the seven seas,-37.0676,-12.3108,290.61,93,100,7.24,SH,1684351972
65,nabire,-3.3603,135.5024,297.1,91,52,1.6,ID,1684351973
66,cabo san lucas,22.8939,-109.9201,303.38,53,99,5.81,MX,1684351822
67,antsiranana,-12.2779,49.2913,296.8,93,37,2.22,MG,1684351973
68,poteau,35.0568,-94.62,298.8,62,51,1.41,US,1684351974
69,crane,31.3957,-102.3521,303.18,31,4,4.29,US,1684351974
70,lazaro cardenas,20.225,-97.5931,307.79,43,6,3.56,MX,1684351974
71,talnakh,69.494,88.3908,270.14,97,100,2.32,RU,1684351974
72,salahonda,2.0399,-78.6581,301.52,77,97,4.13,CO,1684351975
73,borogontsy,62.6708,131.1661,277.62,92,100,3.29,RU,1684351975
74,grytviken,-54.2806,-36.5098,274.35,84,22,7.88,GS,1684351975
75,nha trang,12.2432,109.1899,299.32,77,46,2.36,VN,1684351976
76,bargara,-24.8155,152.463,286.58,92,0,4.54,AU,1684351976
77,kruisfontein,-34.012,24.7433,287.59,85,100,3.85,ZA,1684351976
78,tomohon,1.3256,124.8386,293.71,84,100,0.85,ID,1684351976
79,lihue,21.977,-159.3688,297.32,83,84,3.87,US,1684351977
80,port elizabeth,-33.9617,25.6208,288.79,93,100,3.58,ZA,1684351977
81,kodiak,57.79,-152.4072,278.17,73,100,1.01,US,1684351977
82,savanna-la-mar,18.2194,-78.1327,303.11,67,62,3.38,JM,1684351978
83,ust-nera,64.5664,143.2378,275.8,96,100,2.29,RU,1684351978
84,akureyri,65.6839,-18.1122,284.85,62,100,3.65,IS,1684351761
85,sao mateus,-18.7156,-39.8483,296.96,59,60,4.13,BR,1684351979
86,smara,53.1986,50.114,290.45,62,45,2.62,RU,1684351979
87,vaxjo,56.8787,14.8094,279.58,70,4,2.0,SE,1684351979
88,sinazongwe,-17.2609,27.4606,294.98,49,14,1.71,ZM,1684351979
89,lindesberg,59.6667,15.25,282.89,43,8,2.45,SE,1684351980
90,risod,19.9778,76.7898,305.35,24,1,3.04,IN,1684351980
91,kitee,62.1002,30.1356,285.62,77,100,3.19,FI,1684351980
92,hamilton,43.2561,-79.8729,287.16,47,0,1.34,CA,1684351683
93,troitsko-pechorsk,62.7145,56.1854,284.4,82,52,1.96,RU,1684351981
94,badger,42.6144,-94.1462,301.17,54,23,4.33,US,1684351981
95,ribeira grande,37.8225,-25.5195,291.87,90,100,4.05,PT,1684351982
96,thompson,55.7433,-97.8553,275.17,96,100,4.45,CA,1684351524
97,olonkinbyen,70.9224,-8.716,274.27,96,100,5.52,SJ,1684351982
98,masterton,-40.9496,175.6594,282.51,96,100,1.39,NZ,1684351983
99,laojunmiao,33.3841,114.8906,294.4,76,72,2.9,CN,1684351983
100,richards bay,-28.7708,32.0578,291.36,80,46,2.15,ZA,1684351984
101,ellettsville,39.2339,-86.625,298.76,46,0,0.89,US,1684351797
102,puerto san jose,13.9246,-90.8192,304.68,63,3,6.82,GT,1684351984
103,conceicao da barra,-18.5841,-39.7372,296.8,61,81,4.99,BR,1684351985
104,east london,-33.0192,27.8999,289.48,83,47,4.7,ZA,1684351985
